URL,Size,Number of outlinks,Content Type
https://www.wsj.com/,947939,391,text/html
https://www.wsj.com/video/browse/news/world-news,49443,109,text/html
https://www.wsj.com/news/types/journal-reports-health-care,641085,267,text/html
https://www.wsj.com/news/types/canada-news,642866,266,text/html
https://www.wsj.com/articles/stocks-get-a-boost-from-nafta-deal-1538379331?mod=article_inline&tesla=y,1036385,263,text/html
https://www.wsj.com/articles/u-s-protectionist-stance-spooks-germanys-economy-1528977600?mod=hp_major_pos10,1033396,258,text/html
https://www.wsj.com/news/life-arts/health-wellness,882671,287,text/html
https://www.wsj.com/news/business/hotels-casinos,635750,279,text/html
https://www.wsj.com/articles/pfizer-ceo-read-to-step-aside-at-years-end-1538390220?mod=hp_lead_pos6,1032243,260,text/html
https://www.wsj.com/news/magazine/culture,775678,287,text/html
https://www.wsj.com/news/author/8600,560312,271,text/html
https://www.wsj.com/podcasts/latest/wsj-secrets-of-wealthy-women,122267,91,text/html
https://www.wsj.com/articles/red-ink-floods-ipo-market-1538388000?mod=hp_lead_pos5,1033901,262,text/html
https://www.wsj.com/news/types/television-review,640964,266,text/html
https://www.wsj.com/news/types/masterpiece,639240,266,text/html
https://www.wsj.com/articles/german-police-arrest-six-suspected-neo-nazis-ahead-of-planned-attack-1538414051?mod=hp_listb_pos3,1033310,260,text/html
https://www.wsj.com/newsletters,429828,277,text/html
https://www.wsj.com/podcasts/latest/wsj-opinion-foreign-edition,120454,85,text/html
https://www.wsj.com/news/business/food-tobacco,630858,275,text/html
https://www.wsj.com/articles/another-ultraluxury-mansion-heads-to-the-auction-block-1538406314?mod=hp_major_pos24,1033892,261,text/html
https://www.wsj.com/news/author/8594,554138,271,text/html
http://www.wsj.com/public/page/archive.html,157265,557,text/html
https://www.wsj.com/news/technology/,414088,292,text/html
https://www.wsj.com/graphics/billion-dollar-club/,67636,228,text/html
https://www.wsj.com/podcasts,115064,83,text/html
https://www.wsj.com/articles/u-s-auto-makers-get-big-win-from-new-trade-pact-1538398569?mod=hp_lead_pos3,1035729,263,text/html
https://www.wsj.com/news/author/8590,554166,270,text/html
https://www.wsj.com/news/business/media-marketing,641387,284,text/html
https://www.wsj.com/policy/data-policy?mod=video,588663,238,text/html
https://www.wsj.com/news/types/middle-east-news,644277,266,text/html
https://www.wsj.com/video?mod=wsjheader,73304,98,text/html
https://www.wsj.com/articles/canadas-investment-banks-are-big-winners-in-marijuana-boom-1538394451,1034500,262,text/html
https://www.wsj.com/tips,617953,10,text/html
https://www.wsj.com/news/business/small-business-marketing,657808,287,text/html
https://www.wsj.com/articles/wells-fargo-retail-banking-executive-lisa-stevens-to-depart-1538413727,1033613,260,text/html
https://www.wsj.com/news/cio-journal,662668,305,text/html
https://www.wsj.com/video/sen-flake-calls-to-delay-kavanaugh-vote-for-an-fbi-investigation/F95DF917-06DB-40AD-B2DE-E3EBF120F839.html?mod=trending_now_video_5,77560,98,text/html
https://www.wsj.com/video/browse/news/us-news,49448,109,text/html
https://www.wsj.com/news/business/energy-oil-gas,640644,284,text/html
https://www.wsj.com/articles/short-handed-supreme-court-hears-endangered-species-case-1538423557?mod=hp_major_pos8,1034180,263,text/html
https://www.wsj.com/video/subject/mansion,49036,109,text/html
https://www.wsj.com/news/types/review-outlook-u-s,637131,266,text/html
https://www.wsj.com/articles/2019-acura-rdx-have-high-tech-interfaces-gone-too-far-1538152937,1032581,261,text/html
https://www.wsj.com/news/author/6210,549477,271,text/html
https://www.wsj.com/news/types/theater-review,641533,266,text/html
https://www.wsj.com/news/us/greater-new-york,1207958,279,text/html
https://www.wsj.com/news/life-arts,1176835,293,text/html
https://www.wsj.com/articles/m-b-a-applications-keep-falling-in-u-s-this-year-hitting-even-elite-schools-1538366461?mod=trending_now_4,1034989,260,text/html
https://www.wsj.com/news/markets,550712,315,text/html
https://www.wsj.com/articles/a-look-at-larry-culps-career-1538410932?mod=article_inline&tesla=y,1033844,260,text/html
http://www.wsj.com/public/page/rss_news_and_feeds.html?mod=video,141810,264,text/html
https://www.wsj.com/news/heard-on-the-street,660038,278,text/html
https://www.wsj.com/news/types/the-saturday-interview,639915,266,text/html
https://www.wsj.com/articles/on-iran-white-house-criticism-grows-but-u-s-military-posture-recedes-1538386200?mod=hp_listb_pos1,1037142,262,text/html
https://www.wsj.com/podcasts/latest/wsj-whats-news,120504,85,text/html
https://www.wsj.com/articles/activist-investor-and-california-pension-fund-take-stake-in-papa-johns-1538431850?mod=hp_lista_pos2,1035463,260,text/html
https://www.wsj.com/articles/cfo-exit-puts-spotlight-on-j-c-penneys-ceo-hunt-1538172531?mod=hp_minor_pos7,1050156,265,text/html
https://www.wsj.com/news/author/8661,583338,270,text/html
https://www.wsj.com/articles/picketing-targets-contractor-hiring-at-california-freight-sites-1538431437?mod=hp_major_pos15,1053475,268,text/html
https://www.wsj.com/articles/dollar-loses-its-mojo-1538305200,1030567,258,text/html
https://www.wsj.com/articles/mattis-trip-to-china-canceled-1538373418?mod=hp_listb_pos2,1036408,263,text/html
https://www.wsj.com/news/magazine/fashion,796531,287,text/html
https://www.wsj.com/news/us,669686,300,text/html
https://www.wsj.com/articles/are-eggs-bad-for-you-two-scientists-square-off-1536866255?mod=hp_jr_pos1,1054535,289,text/html
https://www.wsj.com/podcasts/latest/wsj-tech-news-briefing,121473,85,text/html
https://www.wsj.com/news/markets/oil-gold-commodities-futures,640643,283,text/html
https://www.wsj.com/articles/tesla-shares-bounce-back-after-friday-decline-1538405289?mod=hp_major_pos17,1034432,260,text/html
https://www.wsj.com/news/types/europe-news,642928,266,text/html
https://www.wsj.com/graphics/tech-startup-stocks-to-watch/,67994,227,text/html
https://www.wsj.com/articles/escape-from-new-york-slaughterhouse-refugees-have-a-country-place-1538423513?mod=hp_featst_pos3,955170,36,text/html
https://www.wsj.com/articles/two-former-sbm-offshore-executives-sent-to-prison-for-bribery-1538173859?mod=hp_minor_pos11,1032043,259,text/html
https://www.wsj.com/video/browse/life-culture/arts-and-entertainment,49302,109,text/html
https://www.wsj.com/articles/italys-bonds-fall-further-on-budget-concerns-1538416687,1034372,263,text/html
https://www.wsj.com/news/tech/future-of-everything,1043663,279,text/html
https://www.wsj.com/articles/photos-of-the-day-oct-1-1538422371?mod=hp_slidecent_pos1,1029856,257,text/html
https://www.wsj.com/video/browse/life-culture,48705,109,text/html
https://www.wsj.com/video/browse/news/politics-and-campaign,49328,109,text/html
https://www.wsj.com/public/page/news-wall-street.html,166393,301,text/html
https://www.wsj.com/video/browse/opinion,49030,109,text/html
https://www.wsj.com/articles/robots-head-for-the-fields-1538426976?mod=hp_lead_pos11,1052929,289,text/html
https://www.wsj.com/news/types/letters,640176,266,text/html
https://www.wsj.com/news/author/5472,551111,271,text/html
https://www.wsj.com/articles/theresa-may-facing-hard-deadline-struggles-to-navigate-treacherous-brexit-politics-1538330894?mod=hp_listb_pos4,955844,35,text/html
https://www.wsj.com/news/business/law-legal,636199,280,text/html
https://www.wsj.com/articles/how-much-politics-in-a-supreme-court-justice-1538405660?mod=article_inline&tesla=y,1035993,262,text/html
https://www.wsj.com/video/browse/tech,48606,109,text/html
https://www.wsj.com/articles/south-korean-exports-in-september-show-underlying-strength-1538365492?mod=hp_major_pos12,1033846,262,text/html
https://www.wsj.com/articles/u-s-canada-likely-to-reach-nafta-accord-sunday-announcement-is-imminent-1538360025?mod=hp_major_pos7,1037108,265,text/html
https://www.wsj.com/news/author/5470,557279,270,text/html
https://www.wsj.com/articles/elon-musk-stirs-controversy-on-twitter-in-wake-of-sec-settlement-1538432084?mod=article_inline,1035446,260,text/html
https://www.wsj.com/articles/wearable-health-monitors-do-they-work-1537149961?mod=hp_jr_pos2,1059126,293,text/html
https://www.wsj.com/news/realestate,670632,297,text/html
https://www.wsj.com/news/business/industrial-services,639519,284,text/html
https://www.wsj.com/articles/dunkin-to-drop-donuts-from-brands-name-1537905438?mod=hp_minor_pos3,1033936,262,text/html
https://www.wsj.com/articles/secs-musk-lawsuit-highlights-dangers-of-social-media-disclosures-1538102470?mod=hp_minor_pos9,1056582,267,text/html
https://www.wsj.com/news/author/5356,582084,272,text/html
https://www.wsj.com/news/life-arts/arts,878064,286,text/html
https://www.wsj.com/news/types/bookshelf,641223,266,text/html
https://www.wsj.com/articles/trump-makes-a-deal-1538426266?mod=hp_opin_pos1,1031452,262,text/html
https://www.wsj.com/news/life-arts/ideas,907534,287,text/html
https://www.wsj.com/news/magazine/food,822942,287,text/html
https://www.wsj.com/news/business/consumer-products,627903,272,text/html
https://www.wsj.com/video/browse/business/economy,49527,109,text/html
https://www.wsj.com/articles/picketing-targets-contractor-hiring-at-california-freight-sites-1538431437?mod=hp_minor_pos13,1053435,268,text/html
https://www.wsj.com/articles/ignore-our-numbersplease-1538338010?mod=hp_opin_pos2,1031236,261,text/html
https://www.wsj.com/articles/new-ge-old-problems-1538405385?mod=article_inline&tesla=y,1033745,261,text/html
https://www.wsj.com/news/types/china-news,644324,266,text/html
https://www.wsj.com/news/magazine/art-design,767978,287,text/html
https://www.wsj.com/articles/tesla-shares-bounce-back-after-friday-decline-1538405289?mod=article_inline,1033746,260,text/html
https://www.wsj.com/news/technology,414089,291,text/html
https://www.wsj.com/news/risk-compliance-journal,671924,312,text/html
https://www.wsj.com/articles/a-glut-of-used-hogs-is-a-drag-on-harley-davidson-1538391600?mod=hp_lista_pos1,1031266,258,text/html
https://www.wsj.com/news/business,680682,305,text/html
https://www.wsj.com/articles/iranian-groups-press-for-rightsand-tehran-hits-back-1538386222?mod=article_inline,1032393,258,text/html
https://www.wsj.com/news/markets/wealth-adviser,850362,287,text/html
https://www.wsj.com/articles/pentagon-presses-lockheed-for-lower-priced-f-35-jets-1538432965?mod=hp_major_pos14,1032946,260,text/html
https://www.wsj.com/news/life-arts/automotive,912315,287,text/html
https://www.wsj.com/articles/ge-names-new-ceo-replacing-flannery-1538392715?mod=hp_lead_pos1,1036780,265,text/html
https://www.wsj.com/news/markets/bonds,747121,282,text/html
http://www.wsj.com/public/page/rss_news_and_feeds.html,141825,263,text/html
https://www.wsj.com/news/business/financial-services,641927,284,text/html
https://www.wsj.com/articles/nobel-prize-in-physiology-or-medicine-awarded-to-american-japanese-scientists-for-cancer-work-1538386756?mod=hp_featst_pos2,1039010,263,text/html
https://www.wsj.com/news/types/dance-review,629685,256,text/html
https://www.wsj.com/articles/cancer-coaches-help-guide-patients-during-and-after-treatment-1537149901?mod=article_inline,1055594,289,text/html
https://www.wsj.com/news/politics,446229,292,text/html
https://www.wsj.com/news/business/natural-resources,641040,284,text/html
https://www.wsj.com/articles/u-s-canada-likely-to-reach-nafta-accord-sunday-announcement-is-imminent-1538360025?mod=trending_now_5,1037119,265,text/html
https://www.wsj.com/news/markets/real-estate-commercial,920735,288,text/html
https://www.wsj.com/articles/u-s-pivots-to-china-with-nafta-deal-in-hand-1538431208?mod=hp_major_pos1,1032749,260,text/html
https://www.wsj.com/articles/new-trade-deal-sets-stage-for-contest-with-china-1538405832?mod=hp_major_pos20,1034360,260,text/html
https://www.wsj.com/articles/cleveland-cavaliers-co-owner-buys-l-a-manse-for-26-5-million-1538429225?mod=hp_major_pos22,1035115,261,text/html
https://www.wsj.com/articles/project44-gets-45-million-in-funding-for-freight-tech-expansion-1538386201?mod=hp_minor_pos14,1055145,269,text/html
https://www.wsj.com/news/author/8680,543600,272,text/html
https://www.wsj.com/news/life-arts/fashion,949938,287,text/html
https://www.wsj.com/articles/crude-extends-gains-as-supply-risks-linger-1538388939?mod=hp_lead_pos10,1037007,263,text/html
https://www.wsj.com/news/markets/stocks,830850,287,text/html
https://www.wsj.com/articles/wild-card-berth-is-a-consolation-prize-for-the-chicago-cubs-1538432408?mod=hp_major_pos26,1033524,262,text/html
https://www.wsj.com/news/life-arts/sports,1053116,294,text/html
https://www.wsj.com/news/types/africa-news,643961,266,text/html
http://www.wsj.com/public/page/guides.html,128514,250,text/html
https://www.wsj.com/articles/notre-dame-is-undefeated-and-you-wont-believe-what-happens-next-1538409923?mod=hp_major_pos25,1033455,262,text/html
https://www.wsj.com/news/author/5461,529183,273,text/html
https://www.wsj.com/articles/fcc-moves-to-free-up-more-airwaves-1538422466?mod=hp_listc_pos3,1034834,263,text/html
https://www.wsj.com/podcasts/latest/wsj-your-money-matters,122423,85,text/html
https://www.wsj.com/articles/we-just-ran-scale-of-tsunami-horror-emerges-in-indonesia-1538407343?mod=hp_lead_pos8,955811,36,text/html
https://www.wsj.com/articles/the-qwerty-days-are-almost-over-1538312400?mod=hp_major_pos18,1034508,262,text/html
https://www.wsj.com/news/author/5469,548654,270,text/html
https://www.wsj.com/news/types/art-review,643541,266,text/html
https://www.wsj.com/news/author/5468,570737,272,text/html
https://www.wsj.com/news/collection/far-and-away-09e79c31,651702,61,text/html
https://www.wsj.com/news/world,673824,315,text/html
https://www.wsj.com/articles/with-no-nobel-prize-in-literature-this-year-another-award-steps-in-1538400481?mod=hp_listc_pos1,1034576,260,text/html
