18/10/21 05:26:39 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.10-hadoop2
18/10/21 05:26:40 INFO client.RMProxy: Connecting to ResourceManager at cluster-1601-m/10.138.0.2:8032
18/10/21 05:26:41 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/10/21 05:26:42 INFO gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
18/10/21 05:26:42 INFO gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
18/10/21 05:26:42 INFO input.FileInputFormat: Total input files to process : 74
18/10/21 05:26:42 INFO mapreduce.JobSubmitter: number of splits:74
18/10/21 05:26:43 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1540094713046_0002
18/10/21 05:26:43 INFO impl.YarnClientImpl: Submitted application application_1540094713046_0002
18/10/21 05:26:43 INFO mapreduce.Job: The url to track the job: http://cluster-1601-m:8088/proxy/application_1540094713046_0002/
18/10/21 05:26:43 INFO mapreduce.Job: Running job: job_1540094713046_0002
18/10/21 05:26:49 INFO mapreduce.Job: Job job_1540094713046_0002 running in uber mode : false
18/10/21 05:26:49 INFO mapreduce.Job:  map 0% reduce 0%
18/10/21 05:27:09 INFO mapreduce.Job:  map 3% reduce 0%
18/10/21 05:27:10 INFO mapreduce.Job:  map 10% reduce 0%
18/10/21 05:27:31 INFO mapreduce.Job:  map 11% reduce 0%
18/10/21 05:27:34 INFO mapreduce.Job:  map 12% reduce 0%
18/10/21 05:27:37 INFO mapreduce.Job:  map 13% reduce 0%
18/10/21 05:27:39 INFO mapreduce.Job:  map 14% reduce 0%
18/10/21 05:27:48 INFO mapreduce.Job:  map 15% reduce 0%
18/10/21 05:27:50 INFO mapreduce.Job:  map 16% reduce 0%
18/10/21 05:27:51 INFO mapreduce.Job:  map 17% reduce 0%
18/10/21 05:27:56 INFO mapreduce.Job:  map 18% reduce 0%
18/10/21 05:27:57 INFO mapreduce.Job:  map 20% reduce 0%
18/10/21 05:27:59 INFO mapreduce.Job:  map 22% reduce 0%
18/10/21 05:28:01 INFO mapreduce.Job:  map 23% reduce 0%
18/10/21 05:28:06 INFO mapreduce.Job:  map 24% reduce 0%
18/10/21 05:28:09 INFO mapreduce.Job:  map 25% reduce 0%
18/10/21 05:28:18 INFO mapreduce.Job:  map 26% reduce 0%
18/10/21 05:28:20 INFO mapreduce.Job:  map 27% reduce 0%
